date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:39	52521/52521	---M--	200	added ('OK')	text/html	date:Mon,%2030%20Jul%202018%2020:25:42%20GMT	https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506	D:/My%20Web%20Sites/ebayCopy/offer.ebay.com/ws/eBayISAPI5f7a.html	(from )
22:25:39	387/387	---M-Z	200	added ('OK')	text/plain	date:Mon,%2030%20Jul%202018%2020:25:43%20GMT	https://offer.ebay.com/robots.txt		(from )
22:25:40	3157/3157	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2019:42:50%20GMT	https://ir.ebaystatic.com/include/css/e1071/us/legacy/ebay_SSL_e10711us.css	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/include/css/e1071/us/legacy/ebay_SSL_e10711us.css	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
22:25:40	12345/12345	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2019:42:51%20GMT	https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
22:25:40	104294/104294	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2006%20Mar%202018%2018:39:07%20GMT	https://secureir.ebaystatic.com/v4js/z/yy/aaa5p3nkya2onh2wvw0vhpasj.js	D:/My%20Web%20Sites/ebayCopy/secureir.ebaystatic.com/v4js/z/yy/aaa5p3nkya2onh2wvw0vhpasj.js	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
22:25:41	53733/53733	---MC-	200	added ('OK')	application/javascript	etag:%22d1e5-56dd34bdc4270-gzip%22	https://secureinclude.ebaystatic.com/js/e1065/us/ebaybase_v4_e10651us.js	D:/My%20Web%20Sites/ebayCopy/secureinclude.ebaystatic.com/js/e1065/us/ebaybase_v4_e10651us.js	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
22:25:41	17360/17360	---M--	200	added ('OK')	application/javascript	etag:%2243d0-56dd34bdd4058-gzip%22	https://secureinclude.ebaystatic.com/js/e1065/us/ebaysup_e10651us.js	D:/My%20Web%20Sites/ebayCopy/secureinclude.ebaystatic.com/js/e1065/us/ebaysup_e10651us.js	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
22:25:41	43850/43850	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Apr%202018%2017:31:10%20GMT	https://ir.ebaystatic.com/rs/v/vbfgz414rqz5lnmzcfypj25lbyd.css?proc=DU:N	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/rs/v/vbfgz414rqz5lnmzcfypj25lbyd8e68.css	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
22:25:41	4820/4820	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Oct%202014%2018:09:24%20GMT	https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
22:25:42	222408/222408	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2011%20Jul%202018%2022:27:02%20GMT	https://ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js	(from https://offer.ebay.com/ws/eBayISAPI.dll?ViewBidsLogin&item=232169710506)
